timestamp,ticker,title,series,yes_bid,yes_ask,volume,status
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25MINDEN-MIN,"Minnesota vs Denver Winner?",,13,42,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25MINDEN-DEN,"Minnesota vs Denver Winner?",,13,66,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25HOULAL-LAL,"Houston vs Los Angeles L Winner?",,13,48,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25HOULAL-HOU,"Houston vs Los Angeles L Winner?",,13,60,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25DALGSW-GSW,"Dallas vs Golden State Winner?",,13,75,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC25DALGSW-DAL,"Dallas vs Golden State Winner?",,13,37,0,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC23DETSAC-SAC,"Detroit vs Sacramento Winner?",,28,29,947,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC23DETSAC-DET,"Detroit vs Sacramento Winner?",,70,74,889,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC23MILIND-MIL,"Milwaukee vs Indiana Winner?",,48,55,3293,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC23MILIND-IND,"Milwaukee vs Indiana Winner?",,48,49,161,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC22MEMOKC-OKC,"Memphis vs Oklahoma City Winner?",,89,90,65613,active
2025-12-22T18:35:01.501525,KXNBAGAME-25DEC22MEMOKC-MEM,"Memphis vs Oklahoma City Winner?",,10,11,219881,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25MINDEN-MIN,"Minnesota vs Denver Winner?",,13,42,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25MINDEN-DEN,"Minnesota vs Denver Winner?",,13,66,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25HOULAL-LAL,"Houston vs Los Angeles L Winner?",,13,48,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25HOULAL-HOU,"Houston vs Los Angeles L Winner?",,13,60,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25DALGSW-GSW,"Dallas vs Golden State Winner?",,13,75,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC25DALGSW-DAL,"Dallas vs Golden State Winner?",,13,37,0,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC23ORLPOR-POR,"Orlando vs Portland Winner?",,45,47,215,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC23ORLPOR-ORL,"Orlando vs Portland Winner?",,54,56,644,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC23TORMIA-TOR,"Toronto vs Miami Winner?",,40,42,877,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC23TORMIA-MIA,"Toronto vs Miami Winner?",,57,60,238,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC22ORLGSW-ORL,"Orlando vs Golden State Winner?",,33,34,87705,active
2025-12-22T18:36:08.750170,KXNBAGAME-25DEC22ORLGSW-GSW,"Orlando vs Golden State Winner?",,66,67,32122,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-242,"Memphis at Oklahoma City: Total Points",,23,27,40,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-239,"Memphis at Oklahoma City: Total Points",,28,32,7,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-236,"Memphis at Oklahoma City: Total Points",,35,39,36,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-233,"Memphis at Oklahoma City: Total Points",,40,43,1608,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-230,"Memphis at Oklahoma City: Total Points",,50,51,24619,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-227,"Memphis at Oklahoma City: Total Points",,56,58,2338,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-224,"Memphis at Oklahoma City: Total Points",,61,65,50,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-221,"Memphis at Oklahoma City: Total Points",,68,72,30,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-218,"Memphis at Oklahoma City: Total Points",,73,77,0,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-215,"Memphis at Oklahoma City: Total Points",,78,83,26,active
2025-12-22T18:36:08.750170,KXNBATOTAL-25DEC22MEMOKC-212,"Memphis at Oklahoma City: Total Points",,82,86,32,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25MINDEN-MIN,"Minnesota vs Denver Winner?",,13,42,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25MINDEN-DEN,"Minnesota vs Denver Winner?",,13,66,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25HOULAL-LAL,"Houston vs Los Angeles L Winner?",,13,48,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25HOULAL-HOU,"Houston vs Los Angeles L Winner?",,13,60,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25DALGSW-GSW,"Dallas vs Golden State Winner?",,13,75,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC25DALGSW-DAL,"Dallas vs Golden State Winner?",,13,37,0,active
2025-12-22T18:37:12.544108,KXNBAGAME-25DEC23ORLPOR-POR,"Orlando vs Portland Winner?",,45,47,215,active
