timestamp,ticker,title,series,yes_bid,yes_ask,volume,status
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21HOUSAC-SAC,"Houston vs Sacramento Winner?",,17,28,69,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21HOUSAC-HOU,"Houston vs Sacramento Winner?",,67,76,64,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21SASWAS-WAS,"San Antonio vs Washington Winner?",,13,15,328,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21SASWAS-SAS,"San Antonio vs Washington Winner?",,80,87,480,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21MILMIN-MIN,"Milwaukee vs Minnesota Winner?",,70,76,82,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC21MILMIN-MIL,"Milwaukee vs Minnesota Winner?",,19,27,17,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC20LALLAC-LAL,"Los Angeles L vs Los Angeles C Winner?",,66,70,11917,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC20LALLAC-LAC,"Los Angeles L vs Los Angeles C Winner?",,29,34,3245,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC20DALPHI-PHI,"Dallas vs Philadelphia Winner?",,52,56,2705,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC20DALPHI-DAL,"Dallas vs Philadelphia Winner?",,43,50,3525,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC19PHINYK-PHI,"Philadelphia vs New York Winner?",,31,32,695573,active
2025-12-19T23:33:37.561686,KXNBAGAME-25DEC19PHINYK-NYK,"Philadelphia vs New York Winner?",,68,69,560689,active
2025-12-19T23:34:41.444509,KXNBAGAME-25DEC21HOUSAC-SAC,"Houston vs Sacramento Winner?",,18,28,69,active
2025-12-19T23:34:41.444509,KXNBAGAME-25DEC21HOUSAC-HOU,"Houston vs Sacramento Winner?",,67,76,64,active
2025-12-19T23:34:41.444509,KXNBAGAME-25DEC21SASWAS-WAS,"San Antonio vs Washington Winner?",,13,15,328,active
